OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
127670,CLUSTER,2000,2451759.5,216,1440,1,Lightning,2451760.5,217,1030,0.1,A,36.43444444,-112.0855556
826054,,2000,2451759.5,216,1659,9,Miscellaneous,,,,3,B,34.6947,-89.7375
1232937,SULLIVAN BUTTE,2001,2452125.5,216,1504,1,Lightning,,,,0.1,A,34.8547,-112.5794
484851,,2004,2453220.5,216,,4,Campfire,,,,0.2,A,45.4282739,-84.54449654
224996,SAC,1994,2449568.5,216,2028,1,Lightning,2449568.5,216,2200,0.5,B,44.9519,-113.4514
1091634,,2006,2453951.5,216,,9,Miscellaneous,,,,0.2,A,37.085,-122.2688889
713205,WILT RD.,1999,2451394.5,216,,1,Lightning,2451394.5,216,,0.1,A,44.34419,-121.46571
935070,,2002,2452490.5,216,,5,Debris Burning,,,,1,B,35.2483,-85.795
460170,,2009,2455047.5,216,,1,Lightning,,,,0.21,A,33.52835718,-85.00933469
1636860,GRIZZLY,2013,2456508.5,216,1837,1,Lightning,2456510.5,218,1910,0.2,A,47.30833333,-113.4516667
912184,,1999,2451394.5,216,,5,Debris Burning,,,,2,B,33.95,-80.4333
1218548,BULL POINT,2010,2455412.5,216,1335,1,Lightning,2455412.5,216,1900,0.1,A,39.514,-111.00314
346849,LUSCO,2000,2451759.5,216,2045,1,Lightning,2451777.5,234,1800,0.1,A,38.2025,-110.7968
651974,,2008,2454681.5,216,,9,Miscellaneous,,,,5,B,33.9567,-98.4931
211418,SMALL ARMS,1997,2450664.5,216,1804,9,Miscellaneous,2450678.5,230,1100,0.1,A,64.7996,-147.6358
1638656,FISH HAVEN #10,2013,2456508.5,216,1000,4,Campfire,2456508.5,216,1300,0.1,A,42.05388889,-111.4622222
1727424,COLD SPRINGS 2 ,2014,2456873.5,216,1531,1,Lightning,2456873.5,216,1730,0.25,A,45.235,-118.8852778
121603,SAGE CREEK,1999,2451394.5,216,1837,1,Lightning,2451395.5,217,900,0.1,A,45.43305556,-114.8388889
61588,,1994,2449568.5,216,1200,1,Lightning,2449569.5,217,1000,0.3,B,47.17,-115.9583333
1799921,PRONG,2015,2457238.5,216,1830,1,Lightning,2457238.5,216,1930,18.8,C,45.1136,-106.0111
1454383,ROCK CREEK,2011,2455777.5,216,1459,1,Lightning,2455778.5,217,1000,0.1,A,44.0425,-115.6838889
1369226,,2010,2455412.5,216,1415,5,Debris Burning,,,,2,B,34.94024,-92.5255
235023,PHIPPS2,1996,2450298.5,216,1330,1,Lightning,2450298.5,216,1530,0.1,A,37.7644,-111.4141
214224,JAMES,1997,2450664.5,216,1350,7,Arson,2450664.5,216,1430,2,B,35.1166,-118.5009
756225,ROBINSON CANYON,1994,2449568.5,216,,13,Missing/Undefined,,,,60,C,37.46317,-112.37002
1644949,LOWRY,2013,2456508.5,216,1500,1,Lightning,2456510.5,218,1200,0.1,A,37.5544,-108.9064
1214451,BLUE BEAVER CREEK,2010,2455412.5,216,1930,7,Arson,2455413.5,217,800,13,C,34.4569,-98.558
939608,,1999,2451395.5,217,,2,Equipment Use,,,,1,B,35.0967,-84.3817
649897,,2008,2454682.5,217,,9,Miscellaneous,,,,5,B,32.63271,-97.2861
331765,FISH CR,2000,2451760.5,217,1200,1,Lightning,2451760.5,217,1800,0.5,B,40.1813,-117.3657
1641112,NATURAL,2013,2456509.5,217,845,1,Lightning,2456509.5,217,1600,0.1,A,37.82027778,-109.6044444
233917,RESRCE RD,1999,2451395.5,217,2225,1,Lightning,2451396.5,218,1500,0.1,A,44.0779,-120.78726
1581028,JUNIPER HILL,2012,2456143.5,217,1436,1,Lightning,2456143.5,217,1500,0.1,A,37.5922,-113.7425
614297,,1999,2451395.5,217,,5,Debris Burning,,,,2,B,30.77292,-94.53542
1399119,,1993,2449204.5,217,1815,5,Debris Burning,2449204.5,217,1910,0.7,B,32.5264,-81.6882
116645,BEAVER MARSH,1999,2451395.5,217,1130,1,Lightning,2451395.5,217,1500,0.1,A,44.33694444,-121.9913889
553745,,1998,2451030.5,217,,7,Arson,,,,0.25,A,39.775,-74.25833
5354,BUCKEYE,2005,2453587.5,217,1140,9,Miscellaneous,2453587.5,217,1200,0.1,A,37.05333333,-119.3947222
1502497,,2011,2455778.5,217,358,9,Miscellaneous,2455778.5,217,427,0.1,A,40.80481802,-72.85262299
66491,,1994,2449569.5,217,1644,1,Lightning,2449570.5,218,1000,0.2,A,35.36166667,-111.835
1852217,820,2015,2457239.5,217,,9,Miscellaneous,,,,0.1,A,32.6664893,-97.3252784
