,OBJECT_ID,CITY,COUNTY,STATE,COUNTRY
130,580611,Rowland,Robeson County,North Carolina,US
131,1515704,Southern Shores,Dare County,North Carolina,US
132,1817999,Iola,Allen County,Kansas,US
133,595177,Athens,McMinn County,Tennessee,US
134,476345,Roseland,Tangipahoa Parish,Louisiana,US
135,458126,Lumpkin,Stewart County,Georgia,US
136,404467,Crystal River,Citrus County,Florida,US
137,1380044,Louisville,Jefferson County,Georgia,US
138,1837508,Clarksville,Mecklenburg County,Virginia,US
139,1047077,Monroe,Union County,North Carolina,US
140,1484871,Okeechobee,Okeechobee County,Florida,US
141,1719430,Sabana Grande,,Sabana Grande,PR
142,1039433,River Road,Beaufort County,North Carolina,US
143,1382510,Bainbridge,Decatur County,Georgia,US
144,834388,Guntown,Lee County,Mississippi,US
145,1430961,Grand Bay,Mobile County,Alabama,US
146,264735,Porcupine,Shannon County,South Dakota,US
147,970860,Lehigh Acres,Lee County,Florida,US
148,625366,Mansfield,Tarrant County,Texas,US
149,427302,Newton,Baker County,Georgia,US
150,894639,DeQuincy,Calcasieu Parish,Louisiana,US
151,998145,Wanchese,Dare County,North Carolina,US
152,1528579,Somerset,Bexar County,Texas,US
153,1237889,Buford,Gwinnett County,Georgia,US
154,825947,Greenwood,Leflore County,Mississippi,US
155,365360,Stowell,Chambers County,Texas,US
156,1593605,Inglis,Levy County,Florida,US
157,1367360,East End,Saline County,Arkansas,US
158,1582627,Sebring,Highlands County,Florida,US
159,828925,Petal,Forrest County,Mississippi,US
160,417177,Dahlonega,Lumpkin County,Georgia,US
161,672945,Friendship,Adams County,Wisconsin,US
162,417465,Alamo,Wheeler County,Georgia,US
163,84653,Colfax,Grant Parish,Louisiana,US
164,912997,Loris,Horry County,South Carolina,US
165,598681,Frankston,Anderson County,Texas,US
166,1528659,Mineola,Wood County,Texas,US
167,1229466,Tahlequah,Cherokee County,Oklahoma,US
168,1465346,Cibecue,Navajo County,Arizona,US
169,584280,Moncks Corner,Berkeley County,South Carolina,US
170,268693,Wagner,Charles Mix County,South Dakota,US
171,992384,Orangetree,Collier County,Florida,US
172,1237452,Claxton,Evans County,Georgia,US
173,291158,McLoud,Pottawatomie County,Oklahoma,US
174,1879312,Clearlake Oaks,Lake County,California,US
175,975670,Starke,Bradford County,Florida,US
176,734776,Marion,Marion County,South Carolina,US
177,706230,Kiln,Hancock County,Mississippi,US
178,1748468,Beatrice,Gage County,Nebraska,US
179,1415559,Hazlehurst,Jeff Davis County,Georgia,US
180,745900,Brookdale,Orangeburg County,South Carolina,US
181,1788911,Emporia,Lyon County,Kansas,US
182,1766970,Gretna,Gadsden County,Florida,US
183,1579763,North Eagle Butte,Dewey County,South Dakota,US
184,1057729,Glen Alpine,Burke County,North Carolina,US
